,tconst,title,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes
0,tt0003165,Le mort qui tue,0,1913,90,"Crime,Drama,Mystery",6.9,1211
2,tt0003419,L'étudiant de Prague,0,1913,85,"Drama,Fantasy,Horror",6.4,2070
3,tt0003740,Cabiria,0,1914,148,"Adventure,Drama,History",7.1,3503
4,tt0004465,Les exploits d'Elaine,0,1914,199,"Action,Adventure,Drama",6.4,1029
5,tt0004707,Le Roman comique de Charlot et Lolotte,0,1914,82,Comedy,6.3,3501
7,tt0004972,Naissance d'une nation,0,1915,195,"Drama,History,War",6.2,24357
8,tt0006333,20 000 lieues sous les mers,0,1916,105,"Action,Adventure,Sci-Fi",6.1,1745
9,tt0006864,Intolérance,0,1916,163,"Drama,History",7.7,15305
10,tt0008879,Les Proscrits,0,1918,136,Drama,7.2,1833
11,tt0009369,Mickey,0,1918,93,"Comedy,Drama",6.1,1120
12,tt0009652,Le roman de Mary,0,1918,84,Drama,6.9,1469
13,tt0009937,L'Alpe Vengeresse,0,1919,102,"Drama,Romance",6.9,1531
17,tt0009968,Le lys brisé,0,1919,90,"Drama,Romance",7.3,10189
18,tt0010040,Papa longue-jambes,0,1919,85,"Comedy,Drama",6.7,1410
19,tt0010247,Le trésor d'Arne,0,1919,122,"Drama,History",7.1,1379
20,tt0010307,J'accuse,0,1919,166,"Drama,Horror,War",7.7,1733
21,tt0010418,L'admirable Crichton,0,1919,116,"Adventure,Drama",7.0,1857
22,tt0010726,Les araignées - Le lac d'or,0,1919,81,"Adventure,Western",6.5,1248
23,tt0010806,Le pauvre amour,0,1919,87,"Comedy,Drama,Romance",7.0,1792
24,tt0011000,Pages arrachées au livre de satan,0,1920,167,Drama,6.6,1261
25,tt0011565,Satan,0,1920,90,"Crime,Drama,Horror",7.4,2363
26,tt0011607,La quatrième alliance de Dame Marguerite,0,1920,94,"Comedy,Drama,Horror",7.1,1302
27,tt0011841,À travers l'orage,0,1920,145,"Drama,Romance",7.4,5442
28,tt0011865,L'échange,0,1920,90,"Comedy,Drama",6.7,1438
30,tt0011909,Le coeur nous trompe,0,1921,117,"Comedy,Drama",6.7,1299
31,tt0012190,Les Quatre Cavaliers de l'Apocalypse,0,1921,150,"Drama,Romance,War",7.2,3329
32,tt0012364,La charrette fantôme,0,1921,107,"Drama,Fantasy,Horror",8.0,12173
33,tt0012494,Les Trois Lumières,0,1921,97,"Drama,Fantasy,Horror",7.6,5964
34,tt0012532,Les Deux Orphelines,0,1921,150,"Drama,History,Romance",7.4,5113
35,tt0012675,Le Cheik,0,1921,86,"Adventure,Drama,Romance",6.3,3370
36,tt0012752,Les trois mousquetaires,0,1921,119,"Action,Adventure,Family",6.9,1013
37,tt0012763,Le coeur sur la main,0,1921,99,Drama,7.1,1860
39,tt0012952,Arènes sanglantes,0,1922,108,"Drama,Romance,Sport",6.4,1375
40,tt0013140,Folies de femmes,0,1922,117,"Drama,Thriller",7.0,3538
41,tt0013257,La sorcellerie à travers les âges,0,1922,91,"Documentary,Fantasy,History",7.6,14008
42,tt0013442,Nosferatu le vampire,0,1922,94,"Fantasy,Horror",7.9,94821
43,tt0013496,Le fantôme,0,1922,125,"Drama,Romance",6.8,1765
44,tt0013556,Robin des Bois,0,1922,143,"Adventure,Family,Romance",7.1,2209
45,tt0013579,Le montreur d'ombres,0,1923,90,"Drama,Fantasy,Horror",6.7,1001
46,tt0013750,Sur les marches d'un trône,0,1922,120,"Drama,Romance",6.7,1034
47,tt0013933,Coeur fidèle,0,1923,87,"Drama,Romance",7.5,1275
48,tt0014109,La légende de Gösta Berling,0,1924,183,"Drama,Romance",7.0,1247
49,tt0014142,Quasimodo,0,1923,133,"Drama,Horror,Romance",7.2,5358
52,tt0014532,Les dix commandements,0,1923,136,"Biography,Drama,Fantasy",6.8,2249
53,tt0014586,Le cabinet des figures de cire,0,1924,107,"Fantasy,Horror",6.6,2044
54,tt0014624,L'opinion publique,0,1923,82,"Drama,Romance",7.0,5401
55,tt0014646,Aelita,0,1924,111,"Adventure,Comedy,Drama",6.4,2605
56,tt0014945,Ça t'la coupe!,0,1924,87,"Comedy,Romance",7.7,3390
57,tt0014972,Larmes de clown,0,1924,95,"Drama,Romance,Thriller",7.8,3719
58,tt0015016,Le cheval de fer,0,1924,150,"History,Romance,Western",7.2,2169
59,tt0015119,Comédiennes,0,1924,85,Comedy,7.1,1260
60,tt0015136,Michael,0,1924,93,"Drama,Romance",7.1,1821
61,tt0015174,"Les Nibelungen, la vengeance de Kriemhild",0,1924,129,"Adventure,Drama,Fantasy",7.9,4418
62,tt0015175,Les Nibelungen: la mort de Siegfried,0,1924,143,"Adventure,Drama,Fantasy",8.1,5783
63,tt0015202,Les mains d'Orlac,0,1924,92,"Crime,Horror,Mystery",7.0,2874
64,tt0015224,Peter Pan,0,1924,105,"Adventure,Family,Fantasy",7.1,1061
65,tt0015361,La grève,0,1925,82,Drama,7.6,7853
66,tt0015400,Le voleur de Bagdad,0,1924,155,"Adventure,Family,Fantasy",7.7,6111
67,tt0015624,La grande parade,0,1925,151,"Drama,Romance,War",7.9,6691
68,tt0015634,Corps et âme,0,1925,102,Drama,6.2,1030
69,tt0015768,Le maître du logis,0,1925,111,"Comedy,Drama",7.1,2043
70,tt0015842,La rue sans joie,0,1925,125,Drama,7.1,1574
71,tt0015864,La ruée vers l'or,0,1925,95,"Adventure,Comedy,Drama",8.2,109217
72,tt0015881,Les rapaces,0,1924,140,"Drama,Thriller,Western",8.1,9793
73,tt0016004,L'éventail de Lady Windermere,0,1925,120,Comedy,7.2,1156
74,tt0016029,Le petit colonel,0,1935,81,"Comedy,Family,Musical",7.0,1683
75,tt0016039,Le monde perdu,0,1925,110,"Adventure,Fantasy,Sci-Fi",7.0,5143
76,tt0016104,La veuve joyeuse,0,1925,137,"Drama,Romance",7.3,2401
77,tt0016123,Le Docteur X,0,1925,86,"Comedy,Horror,Mystery",6.2,1149
78,tt0016220,Le fantôme de l'opéra,0,1925,93,Horror,7.6,18127
79,tt0016473,Le club des trois,0,1925,86,"Crime,Drama,Romance",7.2,1914
81,tt0016481,Variétés,0,1925,104,"Crime,Drama,Romance",7.4,1207
82,tt0016544,Le Prince qu'on sort,0,1925,95,"Adventure,Comedy,Family",5.0,1512
84,tt0016627,Bardelys le magnifique,0,1926,90,"Drama,Romance",7.1,1199
85,tt0016641,Ben-Hur,0,1925,143,"Adventure,Drama,Romance",7.8,7600
86,tt0016654,Le pirate noir,0,1926,88,"Action,Adventure",7.1,1879
87,tt0016669,La Bohème,0,1926,95,"Drama,Romance",7.3,1587
88,tt0016690,"Tom, champion du Stade",0,1926,85,"Action,Drama,Romance",6.4,1477
89,tt0016847,Faust,0,1926,107,"Drama,Fantasy,Horror",8.1,15042
90,tt0016884,La chair et le diable,0,1926,112,Drama,7.6,4282
91,tt0017075,Les cheveux d'or,0,1927,92,"Crime,Drama,Mystery",7.3,11643
92,tt0017128,La mère,0,1926,89,Drama,7.5,2767
93,tt0017136,Metropolis,0,1927,153,"Drama,Sci-Fi",8.3,170807
94,tt0017350,La lettre écarlate,0,1926,115,Drama,7.7,1799
95,tt0017423,Les moineaux,0,1926,109,Drama,7.4,1323
96,tt0017463,Trois sublimes canailles,0,1926,92,"Romance,Western",7.5,1203
97,tt0017739,La volonté du mort,0,1927,108,"Comedy,Horror,Mystery",7.1,2964
98,tt0017961,Le bonheur,0,1935,95,"Comedy,Drama",7.4,1099
99,tt0018037,Le chanteur de jazz,0,1927,88,"Drama,Music,Musical",6.4,9870
100,tt0018051,Le petit frère,0,1927,82,"Comedy,Drama,Family",7.6,4320
101,tt0018054,Le roi des rois,0,1927,160,"Biography,Drama,Family",7.4,2117
102,tt0018066,La fin de Saint-Pétersbourg,0,1927,85,Drama,7.3,1695
103,tt0018107,Anna Karenine,0,1927,82,"Drama,Romance",6.9,1039
104,tt0018217,Octobre,0,1927,142,"Drama,History",7.4,7764
105,tt0018328,L'arène,0,1927,116,"Drama,Romance,Sport",6.2,3487
108,tt0018379,L'Heure suprême !,0,1927,110,"Drama,Romance",7.6,3577
109,tt0018451,Vieil Heidelberg,0,1927,106,"Drama,Romance",7.6,1500
111,tt0018455,L'aurore,0,1927,94,"Drama,Romance",8.1,50450
112,tt0018471,Marine d'abord!,0,1926,103,"Comedy,Drama,Romance",7.2,1563
113,tt0018505,Trois dans un sous-sol,0,1927,86,"Comedy,Drama",7.3,1187
116,tt0018578,Les ailes,0,1927,144,"Action,Drama,Romance",7.6,12707
117,tt0018618,Un soir à Singapour,0,1928,85,"Drama,Romance",6.3,1136
118,tt0018684,Les mendiants de la vie,0,1928,100,"Adventure,Drama",7.5,1120
119,tt0018737,Loulou,0,1929,109,"Crime,Drama,Romance",7.8,10619
120,tt0018756,À l'américaine,0,1928,86,Comedy,5.5,2317
121,tt0018806,La foule,0,1928,98,"Drama,Romance",8.1,8304
122,tt0018876,Laquelle des trois?,0,1928,100,"Comedy,Drama,Romance",5.8,2800
123,tt0019071,Crépuscule de gloire,0,1928,88,"Drama,History,Romance",8.0,3862
124,tt0019130,L'homme qui rit,0,1928,110,"Drama,Mystery,Romance",7.7,6774
125,tt0019195,La belle ténébreuse,0,1928,96,"Drama,Romance",7.3,1343
126,tt0019237,Les nouvelles vierges,0,1928,85,Drama,6.8,1792
127,tt0019254,La passion de Jeanne d'Arc,0,1928,110,"Biography,Drama,History",8.2,53186
128,tt0019286,Tempête sur l'Asie,0,1928,127,"Drama,War",7.0,2098
129,tt0019344,Faiblesse humaine,0,1928,97,Drama,7.3,2691
130,tt0019379,Mirages,0,1928,83,"Comedy,Romance",7.6,3725
131,tt0019412,En vitesse,0,1928,85,"Action,Comedy,Family",7.6,3692
132,tt0019415,Les espions,0,1928,150,"Romance,Thriller",7.5,3522
133,tt0019429,L'ange de la rue,0,1928,102,Drama,7.3,2345
134,tt0019558,La symphonie nuptiale,0,1928,113,Drama,7.4,1750
136,tt0019585,Le vent,0,1928,95,"Drama,Romance,Thriller",8.0,6593
137,tt0019591,Intrigues,0,1928,98,Drama,7.2,1513
138,tt0019646,Jazz-Bank,0,1928,195,"Drama,Romance",7.6,1017
140,tt0019655,Asphalte,0,1929,90,"Crime,Drama,Romance",7.4,1542
141,tt0019702,Chantage,0,1929,85,"Crime,Thriller",6.9,10565
142,tt0019729,Amours de danseuses,0,1929,100,"Drama,Musical,Romance",5.6,7132
144,tt0019735,Capitaine Drummond,0,1929,90,"Crime,Drama,Mystery",6.4,1033
145,tt0019777,Noix de coco,0,1929,96,"Adventure,Comedy,Musical",6.9,7550
146,tt0019823,Disraeli,0,1929,90,"Biography,Drama,History",6.2,1199
147,tt0019901,La femme sur la lune,0,1929,156,"Adventure,Comedy,Drama",7.3,3406
148,tt0019959,Halleluyah,0,1929,109,"Drama,Musical",6.7,1824
149,tt0019993,Hollywood Revue,0,1929,130,"Comedy,Music",5.9,2037
151,tt0020030,Le masque de fer,0,1929,95,"Adventure,Drama,History",7.1,1270
152,tt0020112,Parade d'amour,0,1929,107,"Comedy,Musical,Romance",7.0,2313
153,tt0020122,L'isolé,0,1929,100,"Drama,Romance",7.7,1342
154,tt0020142,L'Homme de l'île de Man,0,1929,110,"Drama,Romance",6.2,2927
155,tt0020269,Piccadilly,0,1929,92,"Crime,Drama",7.1,1577
156,tt0020298,Reine Kelly,0,1932,101,Drama,7.1,3249
158,tt0020451,La ligne générale,0,1929,121,Drama,7.2,1503
159,tt0020475,Le journal d'une fille perdue,0,1929,104,Drama,7.8,4432
161,tt0020514,L'intruse,0,1929,90,Drama,6.5,1344
162,tt0020620,Abraham Lincoln,0,1930,96,"Biography,Drama,War",5.7,1525
163,tt0020629,À l'Ouest rien de nouveau,0,1930,152,"Drama,War",8.1,60607
164,tt0020640,"Animal crackers, l'explorateur en folie",0,1930,97,"Comedy,Family,Musical",7.4,14381
166,tt0020641,Anna Christie,0,1930,89,"Drama,Romance",6.6,3148
167,tt0020686,Big House,0,1930,87,"Crime,Drama,Thriller",7.1,2181
168,tt0020691,La piste des géants,0,1930,125,"Adventure,Romance,Western",7.2,3762
169,tt0020697,L'ange bleu,0,1930,104,"Drama,Music",7.7,14864
170,tt0020793,Un Cottage dans le Dartmoor,0,1929,88,"Crime,Drama",7.6,1113
171,tt0020815,La patrouille de l'aube,0,1930,108,"Action,Drama,War",7.2,1803
172,tt0020827,La divorcée,0,1930,84,"Drama,Romance",6.7,3124
173,tt0020876,À la hauteur!,0,1930,93,"Adventure,Comedy,Family",6.7,1075
174,tt0020960,Les anges de l'enfer,0,1930,127,"Drama,War",7.3,5365
175,tt0021015,Junon et le paon,0,1929,85,"Comedy,Drama",4.6,2310
176,tt0021025,La Féérie du jazz,0,1930,99,"Animation,Comedy,Musical",6.7,1345
177,tt0021040,Femmes de luxe,0,1930,99,"Drama,Romance",6.7,1209
178,tt0021106,Madame Satan,0,1930,116,"Comedy,Drama,Musical",6.4,1034
179,tt0021153,Monte-Carlo,0,1930,90,"Comedy,Musical,Romance",6.7,1306
181,tt0021156,Coeurs brûlés,0,1930,92,"Drama,Romance",7.0,6563
183,tt0021165,Meurtre,0,1930,104,"Crime,Mystery,Thriller",6.3,6293
184,tt0021409,Sous les toits de Paris,0,1930,96,"Comedy,Drama,Musical",7.1,2241
185,tt0021730,Le champion,0,1931,86,"Drama,Family,Sport",7.3,3135
186,tt0021739,La chienne,0,1931,91,"Crime,Drama",7.6,4202
187,tt0021746,La ruée vers l'ouest,0,1931,123,"Drama,Western",5.9,6094
188,tt0021749,Les lumières de la ville,0,1931,87,"Comedy,Drama,Romance",8.5,180729
189,tt0021750,Les carrefours de la ville,0,1931,83,"Crime,Drama,Film-Noir",7.0,1600
190,tt0021770,Le code criminel,0,1930,97,"Crime,Drama,Romance",7.0,1136
191,tt0021800,Agent X27,0,1931,91,"Drama,Romance,War",7.2,2649
192,tt0021818,L'opéra de quat'sous,0,1931,112,"Comedy,Crime,Drama",7.3,2241
193,tt0021873,Five Star Final,0,1931,89,"Crime,Drama",7.3,2088
194,tt0021885,Âmes libres,0,1931,93,"Crime,Drama,Romance",6.6,2572
195,tt0021890,Spéciale première,0,1931,101,"Comedy,Crime,Drama",6.7,2872
196,tt0022000,Indiscret,0,1931,92,"Comedy,Drama,Musical",6.2,1444
197,tt0022017,La tragédie de la mine,0,1931,93,Drama,7.5,1501
198,tt0022074,Le lieutenant souriant,0,1931,93,"Comedy,Musical,Romance",7.2,3741
199,tt0022080,Limite,0,1931,114,"Drama,Romance",7.2,2258
200,tt0022100,M le maudit,0,1931,117,"Crime,Mystery,Thriller",8.3,154532
201,tt0022125,Marius,0,1931,130,"Comedy,Drama,Romance",7.8,2293
202,tt0022150,Le million,0,1931,91,"Comedy,Musical",7.4,3470
203,tt0022153,The Miracle Woman,0,1931,90,"Drama,Romance",7.2,2044
205,tt0022183,Jeunes filles en uniforme,0,1931,88,"Drama,Romance",7.6,3058
206,tt0022268,La blonde platine,0,1931,89,"Comedy,Romance",6.8,3090
207,tt0022279,Vies privées,0,1931,84,"Comedy,Drama,Romance",6.8,1203
209,tt0022286,L'ennemi public,0,1931,83,"Crime,Drama",7.6,20749
210,tt0022395,The Skin Game,0,1931,85,Drama,5.7,3175
211,tt0022403,Le Beau Joueur,0,1931,81,"Crime,Drama",6.8,1970
213,tt0022454,Svengali,0,1931,81,"Drama,Horror,Romance",6.8,2011
